[1] "Loading iris..."
ntree      OOB      1      2      3
 1000:   6.67%  0.00% 10.00% 10.00%
ntree      OOB      1      2      3
 1000:   6.67%  0.00% 10.00% 10.00%
ntree      OOB      1      2      3
 1000:   6.67%  0.00% 10.00% 10.00%
ntree      OOB      1      2      3
 1000:   6.67%  0.00% 10.00% 10.00%
ntree      OOB      1      2      3
 1000:   6.67%  0.00% 10.00% 10.00%
ntree      OOB      1      2      3
 1000:   6.67%  0.00% 10.00% 10.00%
ntree      OOB      1      2      3
 1000:   6.67%  0.00% 10.00% 10.00%
ntree      OOB      1      2      3
 1000:   6.67%  0.00% 10.00% 10.00%
ntree      OOB      1      2      3
 1000:   6.67%  0.00% 10.00% 10.00%
ntree      OOB      1      2      3
 1000:   6.67%  0.00% 10.00% 10.00%
ntree      OOB      1      2      3
 1000:   6.67%  0.00% 10.00% 10.00%
ntree      OOB      1      2      3
 1000:   6.67%  0.00% 10.00% 10.00%
ntree      OOB      1      2      3
 1000:   6.67%  0.00% 10.00% 10.00%
ntree      OOB      1      2      3
 1000:   6.67%  0.00% 10.00% 10.00%
ntree      OOB      1      2      3
 1000:   6.67%  0.00% 10.00% 10.00%
ntree      OOB      1      2      3
 1000:   6.67%  0.00% 10.00% 10.00%
ntree      OOB      1      2      3
 1000:   6.67%  0.00% 10.00% 10.00%
ntree      OOB      1      2      3
 1000:   6.67%  0.00% 10.00% 10.00%
ntree      OOB      1      2      3
 1000:   6.67%  0.00% 10.00% 10.00%
ntree      OOB      1      2      3
 1000:   6.67%  0.00% 10.00% 10.00%
ntree      OOB      1      2      3
 1000:   6.67%  0.00% 10.00% 10.00%
ntree      OOB      1      2      3
 1000:   6.67%  0.00% 10.00% 10.00%
ntree      OOB      1      2      3
 1000:   6.67%  0.00% 10.00% 10.00%
ntree      OOB      1      2      3
 1000:   6.67%  0.00% 10.00% 10.00%
ntree      OOB      1      2      3
 1000:   6.67%  0.00% 10.00% 10.00%
